,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
696,3,USA hyper equipped,2,1,1,104,C,21,Gas,Yes,1500,80.0,No,Apartment ,100,Unknown,As new,Yes,1580
697,1,Semi equipped,2,1,1,195,Not specified,40,Electric,No,1750,150.0,No,Duplex ,110,Yes,As new,Unknown,1900
698,4,Hyper equipped,1,1,1,203,Not specified,39,Gas,No,1000,65.0,No,Apartment ,65,Unknown,As new,Yes,1065
700,3,Hyper equipped,2,1,1,220,Not specified,47,Gas,Yes,1300,150.0,No,Apartment ,100,Unknown,As new,Yes,1450
701,2,Hyper equipped,1,1,1,166,D,42,Gas,Yes,910,125.0,No,Apartment ,75,Unknown,As new,Yes,1035
704,2,Installed,3,1,2,255,Not specified,53,Gas,Yes,1350,80.0,No,Apartment ,130,Unknown,As new,Yes,1430
706,2,USA installed,2,1,2,369,Not specified,48,Gas,Yes,1700,130.01,No,Duplex ,120,Unknown,Good,No,1700
707,3,USA installed,1,1,1,328,Not specified,84,Gas,Yes,840,150.0,No,Apartment ,60,Unknown,As new,No,990
708,0,Installed,2,1,1,159,Not specified,42,Gas,Yes,1500,30.0,No,Ground floor ,85,Unknown,Good,No,1530
710,1,USA hyper equipped,2,1,1,66,B,14,Gas,Yes,1600,200.0,No,Apartment ,94,No,As new,Yes,1800
712,2,Hyper equipped,2,1,1,234,Not specified,49,Gas,No,1150,133.01,No,Apartment ,89,Unknown,As new,Unknown,1150
715,3,Installed,2,1,2,94,B,20,Gas,Yes,1300,280.0,No,Apartment ,100,No,As new,Yes,1580
716,0,Installed,1,1,1,272,Not specified,58,Gas,Yes,850,77.47,No,Ground floor ,70,Unknown,As new,No,850
721,4,Hyper equipped,2,1,1,214,Not specified,49,Gas,Yes,1400,250.0,No,Apartment ,91,No,As new,Yes,1650
722,3,Hyper equipped,1,1,1,365,Not specified,79,Fuel oil,No,800,92.53,No,Apartment ,50,Unknown,As new,Unknown,800
723,1,Hyper equipped,3,1,2,214,Not specified,49,Fuel oil,No,1400,161.93,No,Apartment ,105,Yes,As new,Unknown,1400
724,3,Hyper equipped,2,1,2,114,C,24,Gas,Yes,1450,90.0,No,Apartment ,108,Unknown,As new,Yes,1540
725,0,Hyper equipped,3,1,2,173,Not specified,41,Gas,Yes,1900,224.02,No,Town-house ,150,Unknown,As new,No,1900
727,0,USA hyper equipped,3,1,2,127,C,35,Gas,Yes,2075,63.01,No,House ,125,Unknown,Good,Unknown,2075
728,3,Hyper equipped,2,1,3,122,C,24,Gas,Yes,1600,80.0,No,Apartment ,110,Unknown,As new,Yes,1680
729,0,USA semi equipped,2,1,1,227,E,56,Gas,Yes,980,60.0,No,Ground floor ,85,Unknown,Just renovated,No,1040
730,0,Installed,1,1,1,322,Not specified,72,Gas,Yes,740,60.0,No,Studio ,37,Unknown,As new,Unknown,800
732,2,Hyper equipped,2,1,1,206,Not specified,50,Gas,Yes,1050,100.0,No,Apartment ,98,Unknown,As new,No,1150
733,1,Hyper equipped,3,1,2,360,G,72,Gas,Yes,1750,20.0,No,Duplex ,135,No,As new,Unknown,1770
734,1,Hyper equipped,2,1,1,219,E,41,Gas,Yes,1380,150.0,No,Apartment ,76,No,As new,No,1530
735,1,Not installed,1,1,1,314,F,68,Gas,No,750,50.0,No,Apartment ,44,Unknown,As new,Unknown,800
736,0,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850,65.0,No,Duplex ,55,No,As new,Unknown,850
737,2,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850,98.31,No,Apartment ,83,Unknown,Good,No,850
739,1,Installed,1,1,1,189,D,25,Gas,Yes,1180,136.48,No,Apartment ,61,No,As new,No,1180
740,2,USA hyper equipped,2,1,2,116,C,21,Gas,Yes,2000,5.0,No,Apartment ,130,No,Just renovated,No,2005
742,2,USA hyper equipped,1,1,1,342,F,68,Gas,Yes,1000,100.0,No,Apartment ,80,Yes,As new,No,1100
743,2,Hyper equipped,2,1,2,85,B,17,Gas,Yes,1400,200.0,No,Apartment ,93,No,As new,Yes,1600
744,2,Hyper equipped,2,1,2,85,B,17,Gas,Yes,1400,200.0,No,Apartment ,93,No,As new,Yes,1600
745,3,USA hyper equipped,1,1,1,206,Not specified,50,Gas,Yes,1050,350.0,No,Apartment ,45,Yes,As new,No,1400
746,2,Hyper equipped,2,2,2,234,E,42,Gas,Yes,1400,175.0,No,Apartment ,120,No,As new,Yes,1575
747,0,Hyper equipped,4,4,5,206,Not specified,53,Gas,Yes,2400,72.87,No,House ,180,No,As new,Unknown,2400
748,1,Hyper equipped,3,1,1,138,C,53,Gas,Yes,1350,270.0,No,Apartment ,110,No,As new,Yes,1620
749,3,Hyper equipped,3,1,1,145,C,31,Gas,Yes,1600,300.0,No,Apartment ,140,No,As new,Yes,1900
750,1,Hyper equipped,3,2,2,107,C,12,Gas,Yes,1875,225.0,No,Apartment ,145,No,As new,Yes,2100
751,0,Hyper equipped,2,1,3,186,D,37,Gas,Yes,1650,50.1,No,House ,180,No,As new,No,1650
752,2,USA hyper equipped,2,2,2,159,Not specified,42,Gas,Yes,1500,175.0,No,Apartment ,90,No,As new,Yes,1675
754,1,Hyper equipped,1,1,1,302,F,61,Electric,Yes,800,30.0,No,Apartment ,38,No,Good,No,830
756,2,USA installed,1,1,1,95,B,20,Gas,Yes,870,80.0,No,Apartment ,72,No,As new,Yes,950
758,1,USA installed,2,1,1,107,C,22,Gas,Yes,1350,150.0,No,Apartment ,91,Yes,As new,Yes,1500
760,3,USA hyper equipped,2,2,2,45,A,40,Gas,Yes,1750,225.0,No,Apartment ,100,No,As new,Yes,1975
763,4,USA hyper equipped,2,1,1,196,D,41,Gas,Yes,1260,220.0,No,Apartment ,85,No,Good,Yes,1480
764,1,USA hyper equipped,2,1,1,171,D,36,Gas,Yes,1250,30.0,No,Apartment ,107,No,As new,No,1280
766,0,USA hyper equipped,2,2,2,327,F,70,Gas,Yes,1650,150.0,No,House ,125,Yes,As new,No,1800
767,0,USA hyper equipped,2,2,2,327,F,70,Gas,Yes,1650,150.0,No,Apartment ,125,Yes,As new,No,1800
770,1,Hyper equipped,1,1,1,193,D,38,Gas,Yes,1150,133.01,No,Apartment ,85,No,As new,No,1150
771,3,Installed,2,1,1,365,Not specified,79,Gas,Yes,800,92.53,No,Apartment ,60,Unknown,Just renovated,No,800
772,2,Installed,2,1,2,181,Not specified,52,Gas,Yes,1550,300.0,No,Apartment ,145,No,Just renovated,Yes,1850
774,3,Installed,2,1,2,170,D,34,Gas,Yes,1500,140.0,No,Apartment ,90,No,As new,Yes,1640
775,0,Hyper equipped,2,1,1,308,F,48,Gas,Yes,1395,161.35,No,Apartment ,85,No,Just renovated,Unknown,1395
776,0,Hyper equipped,2,1,1,308,F,48,Gas,Yes,1395,106.68,No,Duplex ,85,No,Just renovated,Unknown,1395
777,4,Hyper equipped,2,1,1,342,F,68,Gas,Yes,1300,100.0,No,Penthouse ,90,Yes,As new,Unknown,1400
778,3,Installed,2,1,3,255,Not specified,53,Gas,No,1350,20.0,No,Apartment ,85,No,As new,Unknown,1370
779,2,Hyper equipped,2,1,2,120,C,38,Gas,Yes,1450,100.0,No,Apartment ,80,No,As new,Yes,1550
780,3,USA hyper equipped,2,2,1,58,B,59,Gas,Yes,1120,220.0,No,Apartment ,95,No,As new,Yes,1340
781,1,USA hyper equipped,2,2,2,61,B,47,Gas,Yes,1300,220.0,No,Apartment ,100,Yes,As new,Yes,1520
782,0,USA hyper equipped,2,2,2,64,B,51,Gas,Yes,1170,230.0,No,Ground floor ,97,No,As new,Yes,1400
783,2,USA hyper equipped,1,1,1,48,B,40,Gas,Yes,925,150.0,No,Apartment ,87,No,As new,Unknown,1075
784,5,Installed,3,1,2,176,D,33,Gas,Yes,1700,200.0,No,Apartment ,160,No,As new,Yes,1900
785,1,Installed,1,1,1,295,F,56,Gas,Yes,680,55.0,No,Apartment ,40,No,Just renovated,Unknown,735
787,2,Installed,1,1,1,237,E,47,Gas,No,750,75.0,No,Apartment ,70,No,As new,Unknown,825
788,5,Hyper equipped,2,1,2,75,B,15,Gas,No,1350,120.0,No,Apartment ,103,No,As new,Unknown,1470
789,1,Hyper equipped,3,2,2,294,F,58,Gas,Yes,2250,130.0,No,Apartment ,175,No,As new,Yes,2380
791,2,Hyper equipped,1,1,1,365,Not specified,79,Gas,Yes,800,100.0,No,Apartment ,80,Unknown,As new,No,900
792,0,Installed,1,1,1,310,F,64,Gas,Yes,760,140.0,No,Ground floor ,65,No,Good,No,900
793,1,Hyper equipped,2,1,1,278,F,55,Gas,Yes,1275,50.0,No,Apartment ,75,No,Good,No,1325
794,3,Installed,2,1,1,146,C,29,Gas,Yes,1150,60.0,No,Apartment ,72,No,As new,Unknown,1210
795,1,USA hyper equipped,3,1,1,173,Not specified,41,Gas,Yes,1900,350.0,No,Apartment ,160,Yes,As new,Yes,2250
796,4,Installed,3,2,2,247,Not specified,63,Gas,No,1250,285.0,No,Penthouse ,81,No,As new,Unknown,1535
797,3,Hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750,86.75,No,Apartment ,50,Yes,Good,Unknown,750
798,4,USA hyper equipped,3,2,3,176,D,28,Electric,Yes,1650,175.0,No,Apartment ,110,No,As new,Yes,1825
799,3,USA hyper equipped,3,2,2,342,F,68,Gas,Yes,2000,150.0,No,Apartment ,120,Yes,As new,Yes,2150
801,2,Hyper equipped,1,1,1,411,Not specified,92,Gas,No,975,85.0,No,Apartment ,85,Unknown,As new,Unknown,1060
802,1,USA hyper equipped,1,1,12,263,Not specified,9,Gas,Yes,900,175.0,No,Apartment ,70,No,As new,Yes,1075
805,0,USA installed,1,1,1,140,C,27,Gas,Yes,1050,25.0,No,Apartment ,65,No,As new,No,1075
806,2,Installed,1,1,1,291,F,68,Gas,Yes,850,200.0,No,Studio ,40,Yes,Good,Unknown,1050
807,0,Not installed,5,1,2,155,D,30,Gas,Yes,2500,75.91,No,House ,200,No,As new,Unknown,2500
808,5,Hyper equipped,2,1,2,162,D,32,Gas,Yes,1550,230.0,No,Apartment ,105,No,As new,Yes,1780
809,2,USA installed,2,1,1,256,Not specified,50,Gas,Yes,650,250.0,No,Studio ,45,Yes,As new,Unknown,900
810,1,Hyper equipped,1,1,1,178,D,38,Gas,Yes,1100,160.0,No,Apartment ,70,Yes,As new,No,1260
811,0,Hyper equipped,1,1,1,291,F,68,Gas,Yes,800,200.0,No,Studio ,40,Yes,Good,Unknown,1000
812,6,USA hyper equipped,2,1,1,217,E,65,Fuel oil,Yes,1200,150.0,No,Apartment ,75,No,Good,Unknown,1350
813,5,USA semi equipped,1,1,1,381,Not specified,73,Gas,Yes,890,90.0,No,Apartment ,74,No,Good,Yes,980
814,4,Hyper equipped,1,1,1,277,F,83,Gas,Yes,800,170.0,No,Apartment ,70,No,Good,Yes,970
815,0,Hyper equipped,1,1,1,344,F,69,Gas,Yes,700,102.06,No,Studio ,49,No,Good,No,700
818,1,Hyper equipped,2,2,2,204,Not specified,44,Gas,Yes,1650,100.0,No,Apartment ,93,Yes,Good,Yes,1750
819,3,Hyper equipped,3,1,1,206,Not specified,53,Gas,Yes,2400,170.0,No,Apartment ,135,No,Good,Yes,2570
820,1,Semi equipped,1,1,1,102,C,20,Gas,Yes,700,100.0,No,Studio ,36,Yes,As new,Yes,800
821,1,Hyper equipped,2,1,1,116,C,44,Gas,Yes,1650,100.0,No,Apartment ,93,Yes,As new,Yes,1750
822,6,USA hyper equipped,1,1,1,115,C,18,Gas,Yes,1300,180.0,No,Apartment ,55,Yes,As new,Yes,1480
823,4,Hyper equipped,1,1,1,41,A,46,Gas,Yes,1125,130.12,No,Apartment ,65,No,As new,Yes,1125
824,0,Hyper equipped,1,1,1,67,B,46,Gas,Yes,1125,102.53,No,Ground floor ,76,No,As new,Yes,1125
825,1,Hyper equipped,1,1,1,277,Not specified,61,Electric,No,750,60.0,No,Apartment ,65,Unknown,As new,Unknown,810
827,0,Hyper equipped,3,1,1,245,Not specified,52,Gas,Yes,1599,109.0,No,Apartment ,112,Yes,As new,Unknown,1708
832,5,Hyper equipped,1,1,1,284,F,60,Gas,Yes,1150,100.0,No,Apartment ,70,No,As new,Yes,1250
833,2,Hyper equipped,2,1,1,46,A,56,Gas,Yes,2100,165.0,No,Apartment ,130,No,As new,Yes,2265
838,3,Hyper equipped,2,1,1,164,D,32,Gas,Yes,1300,200.0,No,Apartment ,90,No,As new,Yes,1500
839,4,Hyper equipped,1,1,1,251,E,53,Gas,Yes,1075,100.0,No,Apartment ,70,No,As new,Yes,1175
840,0,Hyper equipped,1,1,1,170,D,33,Gas,Yes,1050,100.0,No,Apartment ,60,No,As new,Yes,1150
842,0,Hyper equipped,3,1,1,302,F,64,Gas,Yes,2350,250.0,No,Duplex ,150,No,As new,Yes,2600
843,3,USA uninstalled,1,1,1,247,Not specified,63,Gas,Yes,1250,100.0,No,Apartment ,65,Yes,As new,Yes,1350
844,2,USA uninstalled,2,1,1,65,B,13,Gas,Yes,1500,250.0,No,Apartment ,90,No,As new,No,1750
849,0,Installed,3,2,3,161,D,32,Gas,Yes,2350,150.0,No,Apartment ,192,No,As new,No,2500
863,1,Hyper equipped,2,1,1,255,Not specified,53,Gas,No,1350,156.14,No,Apartment ,75,Yes,As new,Unknown,1350
865,2,Hyper equipped,2,2,3,79,B,42,Gas,Yes,1800,208.19,No,Apartment ,152,No,As new,Yes,1800
866,2,Hyper equipped,2,2,3,79,B,36,Gas,Yes,2000,231.33,No,Apartment ,152,No,As new,Yes,2000
868,0,Hyper equipped,2,1,1,214,Not specified,49,Gas,Yes,1400,99.0,No,Apartment ,112,Yes,As new,Unknown,1499
869,2,Hyper equipped,2,1,1,124,C,24,Gas,Yes,1450,100.0,No,Apartment ,79,No,As new,Yes,1550
872,4,USA hyper equipped,2,1,2,97,C,20,Gas,Yes,2450,350.0,No,Apartment ,160,No,As new,Yes,2800
873,3,Hyper equipped,2,1,1,254,E,56,Gas,Yes,595,140.0,No,Studio ,38,Yes,Good,Unknown,735
874,2,Hyper equipped,1,1,1,172,D,37,Gas,Yes,1100,40.0,No,Penthouse ,70,No,Good,No,1140
875,1,Hyper equipped,2,1,2,260,E,55,Gas,Yes,1330,30.0,No,Duplex ,100,No,As new,Yes,1360
876,2,Hyper equipped,3,1,1,136,C,27,Gas,Yes,1450,167.71,No,Apartment ,124,No,As new,No,1450
877,3,USA hyper equipped,2,2,1,247,Not specified,63,Gas,Yes,1250,80.0,No,Penthouse ,80,No,As new,Yes,1330
878,2,USA hyper equipped,2,2,2,205,Not specified,47,Gas,Yes,1850,300.0,No,Apartment ,125,No,Just renovated,Yes,2150
879,2,Installed,1,1,1,390,Not specified,32,Gas,Yes,820,45.0,No,Studio ,50,Yes,As new,No,865
883,6,Installed,3,2,2,90,B,18,Gas,Yes,2200,175.0,No,Penthouse ,134,Yes,As new,Yes,2375
884,4,USA hyper equipped,3,2,2,97,C,20,Gas,Yes,2450,350.0,No,Apartment ,141,No,As new,Yes,2800
886,0,USA hyper equipped,1,1,1,179,D,32,Gas,Yes,1050,70.0,No,Apartment ,62,No,Just renovated,Yes,1120
887,4,Installed,2,1,1,216,E,56,Fuel oil,Yes,850,230.0,No,Apartment ,73,No,Good,Yes,1080
889,1,Installed,2,1,1,297,F,59,Gas,Yes,1300,200.0,No,Apartment ,94,No,Just renovated,Yes,1500
890,2,Hyper equipped,1,1,1,202,D,43,Gas,Yes,790,120.0,No,Apartment ,63,No,Just renovated,Unknown,910
891,2,USA hyper equipped,3,2,2,22,A,5,Gas,Yes,1650,140.0,No,Apartment ,115,No,As new,Yes,1790
893,1,USA hyper equipped,2,2,2,90,B,17,Gas,Yes,1650,100.0,No,Apartment ,93,Yes,As new,Yes,1750
894,6,Installed,2,1,1,217,Not specified,46,Gas,No,1200,250.0,No,Penthouse ,90,Unknown,As new,Yes,1450
897,2,Hyper equipped,2,2,1,222,E,42,Gas,Yes,1600,185.06,No,Apartment ,134,No,As new,Yes,1600
898,3,Hyper equipped,2,2,2,255,E,51,Gas,Yes,1380,15.0,No,Penthouse ,80,No,Just renovated,No,1395
901,4,USA installed,2,1,1,284,F,60,Gas,Yes,1150,120.0,No,Apartment ,78,No,As new,Yes,1270
902,3,USA hyper equipped,3,2,2,205,Not specified,47,Gas,Yes,1850,140.0,No,Apartment ,112,No,As new,Yes,1990
903,1,USA installed,1,1,1,138,C,28,Gas,Yes,900,100.0,No,Apartment ,70,Yes,As new,Yes,1000
904,2,Installed,1,1,1,161,D,34,Gas,Yes,780,15.0,No,Apartment ,66,No,Good,Unknown,795
905,2,Semi equipped,1,1,1,357,Not specified,85,Gas,Yes,700,30.0,No,Apartment ,46,Unknown,As new,No,730
906,0,Hyper equipped,4,1,2,160,Not specified,50,Gas,Yes,2150,350.0,No,Apartment ,170,No,As new,Unknown,2500
907,0,Semi equipped,2,1,1,255,Not specified,53,Gas,Yes,1350,103.24,No,Duplex ,85,Unknown,Just renovated,Unknown,1350
908,3,USA hyper equipped,2,2,2,102,C,25,Gas,Yes,1400,300.0,No,Apartment ,115,No,Good,Yes,1700
909,4,Installed,2,1,3,255,Not specified,53,Gas,No,1350,135.91,No,Penthouse ,105,No,As new,Unknown,1350
911,1,Hyper equipped,3,1,2,119,C,63,Gas,Yes,1250,150.0,No,Apartment ,95,No,Good,Yes,1400
914,4,Hyper equipped,3,2,2,157,D,33,Gas,Yes,1950,260.0,No,Apartment ,115,No,As new,Yes,2210
915,6,USA hyper equipped,3,3,2,205,Not specified,47,Gas,Yes,1850,250.0,No,Apartment ,135,No,Just renovated,Yes,2100
916,5,USA installed,3,2,2,179,D,38,Gas,Yes,1950,300.0,No,Duplex ,76,Yes,As new,Yes,2250
918,0,Hyper equipped,3,1,2,297,F,59,Gas,Yes,1400,50.0,No,Apartment ,130,Unknown,As new,Unknown,1450
919,0,Installed,3,2,3,227,Not specified,57,Gas,Yes,2300,350.0,No,Apartment ,184,No,Good,Yes,2650
921,1,Hyper equipped,2,2,2,161,Not specified,36,Gas,Yes,1290,20.0,No,Penthouse ,90,Unknown,Just renovated,No,1310
922,0,Hyper equipped,1,1,1,234,Not specified,49,Gas,Yes,1150,133.01,No,Apartment ,70,No,As new,Unknown,1150
923,3,USA hyper equipped,1,1,1,182,Not specified,36,Gas,No,860,140.0,No,Apartment ,70,Yes,Good,No,1000
924,5,Installed,2,1,1,241,E,72,Gas,No,1000,200.0,No,Apartment ,92,No,As new,Yes,1200
928,1,Installed,3,2,2,219,E,42,Gas,Yes,1800,250.0,No,Apartment ,180,No,Just renovated,Yes,2050
929,4,USA installed,2,2,2,109,C,21,Gas,Yes,1500,250.0,No,Penthouse ,85,Yes,As new,Yes,1750
931,1,Installed,1,1,1,245,Not specified,38,Gas,No,950,25.0,No,Apartment ,70,No,As new,Unknown,975
932,6,Hyper equipped,3,2,2,90,B,18,Gas,Yes,2200,175.0,No,Apartment ,134,Yes,As new,Yes,2375
933,1,USA hyper equipped,2,1,1,104,C,22,Gas,Yes,1500,225.0,No,Apartment ,75,Yes,As new,Yes,1725
934,6,USA hyper equipped,2,2,1,233,E,37,Electric,Yes,1550,175.0,No,Apartment ,71,Yes,As new,Yes,1725
935,1,USA hyper equipped,2,1,1,107,C,22,Gas,Yes,1350,150.0,No,Apartment ,91,Yes,As new,Yes,1500
936,0,USA hyper equipped,3,2,2,107,C,21,Gas,Yes,2200,300.0,No,Apartment ,118,Yes,As new,Yes,2500
937,2,USA hyper equipped,3,2,2,211,D,33,Gas,Yes,1900,200.0,No,Apartment ,93,Yes,As new,Yes,2100
938,1,USA semi equipped,1,1,1,233,Not specified,58,Gas,No,1100,50.0,No,Apartment ,60,Unknown,As new,No,1150
939,4,USA hyper equipped,2,2,1,109,C,21,Gas,Yes,1500,250.0,No,Penthouse ,84,Yes,As new,Yes,1750
940,1,USA hyper equipped,1,1,1,66,B,14,Gas,Yes,900,130.0,No,Studio ,45,Yes,As new,Yes,1030
941,2,Hyper equipped,3,2,2,139,C,30,Gas,Yes,1950,180.0,No,Apartment ,139,No,As new,Yes,2130
943,2,Hyper equipped,3,2,2,139,C,30,Gas,Yes,1950,180.0,No,Apartment ,139,No,As new,Yes,2130
944,1,USA hyper equipped,1,1,1,104,C,15,Gas,Yes,750,150.0,No,Studio ,45,No,As new,Yes,900
945,2,Hyper equipped,1,1,1,171,D,34,Gas,Yes,650,65.0,No,Apartment ,56,No,As new,Unknown,715
946,4,Installed,2,1,1,156,D,34,Gas,Yes,1100,160.0,No,Apartment ,100,No,As new,Yes,1260
950,0,Hyper equipped,3,2,2,280,F,42,Gas,Yes,1800,54.66,No,House ,140,No,Good,No,1800
951,3,USA hyper equipped,1,1,1,225,E,50,Gas,Yes,1050,121.45,No,Apartment ,60,Yes,As new,No,1050
952,4,USA hyper equipped,2,2,2,102,C,26,Gas,Yes,1600,150.0,No,Apartment ,119,No,As new,Yes,1750
953,3,USA hyper equipped,2,1,1,255,Not specified,53,Gas,Yes,1350,250.0,No,Apartment ,100,No,As new,Yes,1600
954,1,USA hyper equipped,2,2,2,53,B,10,Gas,Yes,1850,100.0,No,Apartment ,80,Yes,As new,Yes,1950
955,1,USA hyper equipped,2,2,2,53,B,10,Gas,Yes,1850,100.0,No,Apartment ,80,Yes,As new,Yes,1950
956,0,Hyper equipped,1,1,1,291,F,58,Gas,Yes,850,200.0,No,Ground floor ,60,No,As new,Yes,1050
957,6,USA installed,2,1,1,183,D,15,Gas,Yes,950,200.0,No,Apartment ,75,Unknown,Just renovated,Yes,1150
958,0,Hyper equipped,1,1,1,235,E,85,Gas,Yes,700,200.0,No,Ground floor ,50,No,As new,Unknown,900
959,0,Hyper equipped,1,1,1,250,E,50,Gas,Yes,1100,50.0,No,Apartment ,70,No,Just renovated,No,1150
960,1,USA hyper equipped,2,1,1,219,E,41,Gas,Yes,1380,150.0,No,Apartment ,70,No,As new,No,1530
961,0,USA hyper equipped,3,1,2,400,G,87,Gas,Yes,2100,141.94,No,Town-house ,160,No,As new,No,2100
962,0,Installed,2,1,2,216,E,46,Gas,Yes,1700,250.0,No,Ground floor ,129,No,As new,Yes,1950
963,0,Hyper equipped,4,2,3,259,E,52,Gas,Yes,2250,68.32,No,House ,180,No,Good,No,2250
964,1,Hyper equipped,3,1,2,178,D,35,Gas,Yes,1700,250.0,No,Apartment ,119,No,As new,Yes,1950
966,2,Hyper equipped,3,2,2,125,C,26,Gas,Yes,1220,130.0,No,Apartment ,106,No,Good,Yes,1350
967,3,USA hyper equipped,2,1,1,143,C,28,Gas,Yes,1100,60.0,No,Apartment ,76,No,Good,No,1160
969,0,Hyper equipped,3,2,2,292,F,58,Gas,Yes,1650,50.1,No,House ,120,No,Good,No,1650
970,2,Hyper equipped,2,2,3,226,E,36,Electric,Yes,2200,1.0,No,Apartment ,180,No,Good,Yes,2201
971,1,USA hyper equipped,3,2,2,95,B,24,Gas,Yes,2150,350.0,No,Apartment ,132,No,Just renovated,Yes,2500
972,2,Hyper equipped,2,1,1,112,C,22,Gas,Yes,650,150.0,No,Studio ,23,No,As new,Yes,800
973,4,Installed,2,1,1,243,E,48,Gas,Yes,1150,50.0,No,Apartment ,100,No,As new,Yes,1200
975,1,Installed,1,1,1,297,F,59,Gas,Yes,1295,50.0,No,Apartment ,80,No,Good,Unknown,1345
979,5,Installed,1,1,1,192,D,49,Fuel oil,Yes,980,113.35,No,Apartment ,70,No,Good,Unknown,980
981,0,USA hyper equipped,1,1,1,95,B,10,Gas,Yes,1145,55.0,No,Ground floor ,65,Unknown,As new,Yes,1200
982,0,USA hyper equipped,2,2,2,111,C,19,Gas,Yes,1350,150.0,No,Ground floor ,96,Unknown,As new,Yes,1500
983,2,USA hyper equipped,2,1,2,274,E,55,Gas,Yes,1350,70.0,No,Apartment ,106,Unknown,Just renovated,No,1420
984,2,USA installed,1,1,1,86,B,17,Gas,Yes,850,100.0,No,Studio ,43,Unknown,As new,Yes,950
985,1,Hyper equipped,2,1,1,240,E,51,Gas,Yes,1250,150.0,No,Apartment ,85,Unknown,Good,Yes,1400
986,1,Installed,1,1,1,217,Not specified,46,Gas,Yes,1200,138.8,No,Apartment ,65,Yes,Good,Yes,1200
987,1,USA hyper equipped,1,1,1,8,A,61,Gas,Yes,990,180.0,No,Apartment ,55,Yes,Good,Yes,1170
989,1,Hyper equipped,1,1,1,247,Not specified,63,Gas,No,1250,200.0,No,Apartment ,95,Unknown,As new,Unknown,1450
990,4,Hyper equipped,2,1,1,233,Not specified,58,Gas,Yes,1100,150.0,No,Apartment ,90,Yes,Just renovated,Yes,1250
991,3,Installed,1,1,1,322,Not specified,72,Electric,Yes,740,10.0,No,Studio ,35,Yes,As new,Unknown,750
992,1,Hyper equipped,1,1,1,306,F,66,Gas,Yes,1000,40.0,No,Apartment ,75,No,As new,No,1040
993,3,Hyper equipped,1,1,1,182,D,55,Fuel oil,Yes,1100,200.0,No,Apartment ,70,Yes,As new,Yes,1300
994,0,Hyper equipped,1,1,1,293,F,76,Fuel oil,Yes,1350,150.0,No,Apartment ,100,Yes,As new,Yes,1500
995,0,USA hyper equipped,1,1,1,368,G,59,Gas,Yes,900,60.0,No,Apartment ,60,No,As new,Unknown,960
996,3,Installed,2,2,2,200,D,30,Gas,Yes,1600,75.0,No,Apartment ,105,No,As new,Yes,1675
997,1,Semi equipped,1,1,1,320,F,64,Gas,Yes,730,55.0,No,Apartment ,54,No,Just renovated,Unknown,785
1000,3,Installed,1,1,1,245,Not specified,53,Gas,Yes,950,50.0,No,Apartment ,80,No,As new,Unknown,1000
1001,0,Installed,1,1,1,177,D,78,Gas,Yes,920,30.0,No,Apartment ,60,Yes,As new,Unknown,950
1003,1,Hyper equipped,1,1,1,135,C,26,Gas,No,1350,50.0,No,Apartment ,60,Yes,As new,Unknown,1400
1004,0,USA installed,2,1,2,138,C,27,Gas,Yes,1920,150.0,No,Apartment ,98,Unknown,As new,No,2070
1005,1,Installed,1,1,1,187,D,41,Gas,No,850,50.0,No,Apartment ,75,No,As new,Unknown,900
1006,0,USA installed,2,1,2,138,C,27,Gas,Yes,1920,150.0,No,Apartment ,98,Unknown,As new,No,2070
1009,2,Hyper equipped,1,1,1,182,Not specified,40,Gas,No,925,145.0,No,Apartment ,50,No,As new,Unknown,1070
1013,3,USA installed,1,1,1,365,Not specified,79,Gas,Yes,800,300.0,No,Apartment ,65,Yes,As new,Yes,1100
1014,0,USA hyper equipped,2,2,1,89,B,36,Gas,Yes,1290,110.0,No,Ground floor ,98,No,As new,Yes,1400
1016,0,Hyper equipped,1,1,1,150,C,30,Gas,Yes,1350,123.04,No,Ground floor ,80,Unknown,As new,No,1350
1017,4,Semi equipped,3,2,1,315,F,46,Gas,Yes,1200,138.8,No,Apartment ,130,No,Just renovated,No,1200
1018,5,Hyper equipped,4,1,2,307,F,53,Gas,Yes,2400,277.59,No,Apartment ,200,No,Just renovated,Yes,2400
1020,3,Hyper equipped,2,1,1,142,C,36,Gas,No,2000,231.33,No,Apartment ,110,Yes,As new,Yes,2000
1021,0,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850,150.0,No,Duplex ,70,No,As new,No,1000
1022,4,Installed,1,1,1,247,Not specified,63,Gas,Yes,1250,70.0,No,Apartment ,70,Unknown,As new,Yes,1320
1023,1,USA hyper equipped,3,2,2,175,D,38,Gas,Yes,2500,180.0,No,Ground floor ,143,No,As new,Yes,2680
1024,2,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850,100.0,No,Studio ,45,No,As new,Unknown,950
