,Availability,Floor,Kitchen,Beds,Dressing,Baths,Toilets,Office,ProfSpace,PetFriendly,Armored door,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,HeatPump,SolarPanels,Thermic solar panels,WaterHeater,DoubleGlazing,BuildingType,Rent,Costs,Tenement,price,space,address,listing_type,Floors,Frontages,OutParking,LivingArea,LivingRmSurface,Bed1Surface,Bed2Surface,Furnished,TerraceSurface,Intercom,Visio phone,As built plan,Address,Website,ExtRef,Agency,YearBuilt,BldgCondition,LivingRm,DiningRm,LaundryRm,Basement,TerraceOrient,Caretaker,Elevator,Accessible,SecAccess,AirCond,TVCable,Jacuzzi,Sauna,Pool,Internet,FuelCert,PriorityPurchase,Available,Street frontage width,description,KitchenSurface,BasementSurface,Neighbourhood,Fireplaces,Terrace,GardenSurface,GardenOrient,PlanningPerm,SubdivisionPerm,ShowerRms,FloodZone,Surroundings,VirtualVisit,PropertyName,CovParking,PlanningBreach,ProfSpaceSurface,Obligation to build,AtticSurface,Bed3Surface,OfficeSurface,Attic,PlotSurface,SewerConnection,Utilities,GroundFloorSurface,LandUse,Garden,ELevel,Agent's name,LandFacingStreet,WoodedLand,RearPlot,FlatLand,Bed4Surface,EPCDesc,Bed5Surface,LotWidth,Isolated,ExtraInfo,Annexes
864,,1.0,,1.0,,1.0,1.0,,,,,"302 kWh/m²
kilowatt hour per square meters",F,20160620-0000344491-01-4,61 kg CO₂/m²,Not specified,Electric,,,,,Yes,,"€ 800
800 €","€ 30
30€",No,"€800 (+ €30)
800€ + 30€ per month","1 bedroom | 38 m²
square meters",1070 — Anderlecht,Apartment for rent,4.0,2.0,,"38 m²
square meters","18 m²
square meters","11 m²
square meters",,No,,Yes,,,"Avenue d'Itterbeek, 60
1070 - Anderlecht",http://www.prestigeconsultor.com,5223774,Prestige Consultor Immobilier,,Good,,,,,,,No,No,,,,,,No,,,,Immediately,,,"4 m²
square meters",,Bruxelles,,,,,,,3.0,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,March 1 2023 - 12:00 AM,12.0,Semi equipped,3.0,,1.0,1.0,,,,,"233 kWh/m²
kilowatt hour per square meters",E,UC 561943,46 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 900
900 €","€ 200
200€",No,"€900 (+ €200)
900€ + 200€ per month","3 bedrooms | 88 m²
square meters",1083 — Ganshoren,Apartment for rent,21.0,2.0,,"88 m²
square meters","29 m²
square meters","8 m²
square meters","8 m²
square meters",,,Yes,,,"Astridlaan 1
1700 - Dilbeek",http://www.living-stone.be,5221893,Living Stone Verhuur,1969.0,Good,,,,,,,Yes,,,,,,,,,,,,,"Regardez le 360° tour virtuel sur www.living-stone.be et planifiez votre visite!Appartement amélioré 88m² avec 3 chambres à Ganshoren. 12ième étage avec ascenseur.Cet appartement comprend un hall d'entrée avec vestiaire, un living lumineux (29m²) qui donne accès au terrasse, une cuisine (cuisinière, hotte, four, frigo et congélateur), hall de nuit avec 3 chambres (7m², 7m² et 12m²), salle de bains et toilette séparée.Situé à quelques minutes à pied du centre commercial Basilix et les transports en commun.PEB 233kWh/m² ; CO2 46","7 m²
square meters",,,,Yes,,,,,,,Urban,Link to the virtual visit,,,,,,,"13 m²
square meters",,,,,,,,,,,,,,,,,,,,,
866,March 15 2023 - 12:00 AM,2.0,USA installed,1.0,,1.0,1.0,,,,,"95 kWh/m²
kilowatt hour per square meters",B,20130708-0000175329-01-6,20 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 870
870 €","€ 80
80€",No,"€870 (+ €80)
870€ + 80€ per month","1 bedroom | 72 m²
square meters",Ask for the exact address,Apartment for rent,3.0,2.0,,"72 m²
square meters","25 m²
square meters","16 m²
square meters",,No,"8 m²
square meters",,Yes,,"Boulevard du Souverain, 254
1160 - Auderghem",http://www.eurohouse.be,5205234,EuroHouse sa,2006.0,As new,,,,,,,Yes,No,,,,,,No,,,,Depending on the tenant,,"In a building of 2006 located close to the metro Hankar, nice flat of +-71m² with 1 bedroom (15,5m²), bathroom + wc, nice living room of 29m² with parquet floor (redone), american equipped kitchen, nice terrace, independant room. A2","5 m²
square meters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,April 1 2023 - 12:00 AM,9.0,USA hyper equipped,3.0,,1.0,2.0,,,,Yes,"192 kWh/m²
kilowatt hour per square meters",D,Not specified,40 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 1,800
1800 €","€ 350
350€",No,"€1,800 (+ €350)
1800€ + 350€ per month","3 bedrooms | 179 m²
square meters",Ask for the exact address,Apartment for rent,,2.0,,"179 m²
square meters","46 m²
square meters","15 m²
square meters","14 m²
square meters",No,"20 m²
square meters",Yes,Yes,,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5219434,Victoire (Location),,As new,,,,Yes,,Yes,Yes,Yes,,,Yes,,,No,,,,To be defined,,"Close to the Woluwe Park and close to many transports and shops - Nice 3 bedroom flat + terrace with a total surface of +/- 179m² - The flat is composed of an entrance hall with cloakroom, a spacious and bright living room with open fire place giving onto a nice terrace facing East, a fully equipped kitchen, 3 bedrooms, one of which has a small terrace, a dressing room, a bathroom and a shower room renovated - laundry room - 2 toilets - cellar - double garage required for an additional 200€ in the basement - gas central heating - PEB (D-) - To discover without further delay","22 m²
square meters",,,,,,,,,1.0,Non flood zone,,,,2.0,,,,,"10 m²
square meters",,,,,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,
868,January 15 2023 - 12:00 AM,1.0,USA installed,2.0,,1.0,1.0,,,,,"107 kWh/m²
kilowatt hour per square meters",C,20121211-0000135012-01-5,22 kg CO₂/m²,Not specified,Gas,,,,,,,"€ 1,350
1350 €","€ 150
150€",No,"€1,350 (+ €150)
1350€ + 150€ per month","2 bedrooms | 91 m²
square meters",Ask for the exact address,Apartment for rent,6.0,2.0,,"91 m²
square meters",,"14 m²
square meters","11 m²
square meters",Yes,"12 m²
square meters",,,,"Rue Edith Cavell 226
1180 - Bruxelles",,5225222,CLC Immo,2012.0,As new,,,,,,,Yes,No,,,,,,No,,,,Immediately,,"Close to the center of Brussels, stores, public transport, bars and restaurants, we propose you this furnished apartment of +- 91m2. It offers an entrance hall, a bright living room, a fully equipped kitchen, 2 bedrooms with shared terrace, a bathroom with bath and shower, a storage room with LL/SL and a separate toilet. Double glazing. Possibility to rent a parking space in the building (100€). Monthly provision of 150€ including common charges and cold water. Electricity, heating, hot water, internet and insurance costs are separate. INFOS & VISITS at 02 347 78 88 or info@clcimmo.be",,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,January 16 2023 - 12:00 AM,3.0,Hyper equipped,2.0,,1.0,1.0,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,Yes,,"€ 1,300
1300 €","€ 400
400€",No,"€1,300 (+ €400)
1300€ + 400€ per month","2 bedrooms | 80 m²
square meters",1180 — Uccle,Apartment for rent,3.0,2.0,,"80 m²
square meters","27 m²
square meters","12 m²
square meters","12 m²
square meters",Yes,"8 m²
square meters",Yes,Yes,,"Rue Américaine, 158
1050 - Ixelles",http://www.immoreferences.be,5203762,Immo Références,,As new,,Yes,,,,,Yes,,,,Yes,,,,,,,,,"Avenue de Fre, between the Bois de la Cambre and the Wolvendael park, close to shops, restaurants and public transport, discover this beautiful and nicely furnished 2 bedroom apartment ! The flat is located on the top floor of a small building, it is composed of a spacious and bright living room, two balconies, a fully equipped kitchen, two bedrooms and a bathroom! All inclusive (TV, WIFI, heating, water and electricity): 400€/month. Contact us to visit! Visits from 16 January.","9 m²
square meters",,,,,,,,,,,Countryside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,February 1 2023 - 12:00 AM,3.0,USA hyper equipped,2.0,,2.0,2.0,,,,Yes,"45 kWh/m²
kilowatt hour per square meters",A,Not specified,Not specified,Not specified,Gas,,,,,Yes,,"€ 1,750
1750 €","€ 225
225€",No,"€1,750 (+ €225)
1750€ + 225€ per month","2 bedrooms | 100 m²
square meters",1180 — Uccle,Apartment for rent,6.0,2.0,,"100 m²
square meters","30 m²
square meters","21 m²
square meters","12 m²
square meters",No,"6 m²
square meters",,Yes,,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",http://www.latouretpetit.be,5225460,Latour et Petit Location,2022.0,As new,,,,Yes,,Yes,Yes,Yes,,,,,,No,,,,To be defined,,"UCCLE, Place Brugmann area, close to shops, restaurants and transports. This spacious APARTMENT (2bedr/2shwr) of 1st occupation is located on the 3rd floor of the splendid residence ""Cavell Court"" with spacious common garden. It consists of an entrance hall with guest toilet, living room of ± 30 m² with super equipped open kitchen of ± 10m² and access to a back terrace of ± 6 m², master bedroom of ± 21m² with bathroom and toilet, bedroom of ± 12m², shower room. The condominium offers many services such as a concierge, access to a sports coaching room and a bicycle room. Provisions of common charges (common, heating): 225€/month. PEB: A. To discover exclusively at L&P ! ",,,1 - Bruxelles Sud,,,,,,,1.0,Non flood zone,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,April 1 2023 - 12:00 AM,nan,Hyper equipped,5.0,,4.0,6.0,,,,,"189 kWh/m²
kilowatt hour per square meters",D,D,37 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 6,900
6900 €",,No,"€6,900/month
6900€ per month","5 bedrooms | 400 m²
square meters",1160 — Auderghem,House for rent,,4.0,7.0,"400 m²
square meters","40 m²
square meters","20 m²
square meters","13 m²
square meters",No,"25 m²
square meters",,,,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",http://www.latouretpetit.be,5222703,Latour et Petit Location,2005.0,As new,,Yes,,Yes,,,No,Yes,Yes,,,,,Yes,,,,To be defined,,"AUDERGHEM near the chaussée de Wavre, beautiful DEMEURE (2005) with character of +/- 400m² (5bed/4bath/2bur./)garages, garden, pool. The ground floor consists of an entrance hall, cloakroom with toilet, living room with open fire, separate dining room, study/library. Separate kitchen open to the family dining room and family room. Indoor Jacuzzi-pool and gym. On the 1st floor, hallway leading to 3 bedrooms with dressing rooms, including master bedroom, 2 bathrooms + showers + wc, 1 shower room, 1 office, 1 laundry room. On the 2nd floor, hall leading to 2 bedrooms, dressing room, 1 bathroom + shower + wc. Cellars, Viessmann gas boiler + heat pump to supply reversible air conditioning on the floors. Garden of 8 ares with swimming pool. Possibility to rent the duplex of 68m² (900€) above the 2 garages. Parking, PEB D. To discover at L&P!",,,1 - Bruxelles Est,,,"800 m²
square meters",,,,4.0,Non flood zone,Isolated,,,2.0,,,,,"16 m²
square meters",,,"1400 m²
square meters",,,,,,,,,,,,"9 m²
square meters",,"9 m²
square meters",,,,
872,December 15 2022 - 12:00 AM,8.0,Hyper equipped,2.0,,1.0,1.0,,,,Yes,"252 kWh/m²
kilowatt hour per square meters",E,20221007-0000622375-01-8,50 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 1,250
1250 €",,No,"€1,250/month
1250€ per month","2 bedrooms | 92 m²
square meters",Ask for the exact address,Apartment for rent,8.0,3.0,,"92 m²
square meters","34 m²
square meters","12 m²
square meters","10 m²
square meters",No,"7 m²
square meters",Yes,,,"Cours St Michel 93
1040 - Etterbeek",http://www.cap-sud.com,5141348,CAP SUD Etterbeek,2001.0,,,,,,,,Yes,No,,,,,,No,,,,Immediately,,,"10 m²
square meters",,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,January 1 2023 - 12:00 AM,4.0,USA hyper equipped,2.0,,1.0,1.0,,,,,"196 kWh/m²
kilowatt hour per square meters",D,D,41 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 1,260
1260 €","€ 220
220€",No,"€1,260 (+ €220)
1260€ + 220€ per month","2 bedrooms | 85 m²
square meters",Ask for the exact address,Apartment for rent,5.0,2.0,,"85 m²
square meters","20 m²
square meters","16 m²
square meters","12 m²
square meters",No,"4 m²
square meters",Yes,,,"Rue Belliard 200
1000 - Bruxelles",http://www.vaneau-lecobel.be,5224747,Vaneau Lecobel Bruxelles Est,1907.0,Good,,Yes,,Yes,,,Yes,Yes,,,Yes,,,No,,,,Immediately,10 m,"Avenue de Tervueren in front of the famous Parc de la Woluwe - Magnificent flat of ± 92 m² gross. It is composed as follows: Entrance hall of ± 10 m², luminous living room of ± 36 m² giving access to a south-west oriented terrace, hyper equipped kitchen of ± 10 m², two bedrooms of ± 16 and 13 m², bathroom of ± 8 m² and separate toilet. Provision charges 220€ (maintenance of common areas, water, heating, lift): Hyper bright flat, double glazing, wooden floor, laundry room, cellar. EPB D-. Available on 01/01/2023. To discover without further delay!","10 m²
square meters",,,,,,,,,1.0,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,July 1 2021 - 12:00 AM,1.0,USA hyper equipped,2.0,,1.0,1.0,,,,,"171 kWh/m²
kilowatt hour per square meters",D,20130903-0000165018-01-2,36 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 1,250
1250 €","€ 30
30€",No,"€1,250 (+ €30)
1250€ + 30€ per month","2 bedrooms | 107 m²
square meters",Ask for the exact address,Apartment for rent,5.0,2.0,,"107 m²
square meters","18 m²
square meters","15 m²
square meters","13 m²
square meters",No,,Yes,,,"Rue Belliard 200
1000 - Bruxelles",http://www.vaneau-lecobel.be,5224723,Vaneau Lecobel Bruxelles Est,1913.0,As new,,Yes,,,,,No,No,,,Yes,,,No,,,,Immediately,7.5 m,"Ideally located in front of the Hamoir park and close to all amenities, superb apartment in perfect condition with a surface of ± 107 m² gross. It is composed as follows: an entrance hall, a large living/dining room of ± 37 m² with decorative fireplace, a super-equipped American kitchen, 2 beautiful bedrooms of ± 15 and ± 13 m² as well as a bathroom with laundry space. PEB: D. Provision charges: 30€ (maintenance of common areas). Also: Cellar, bicycle room, wooden floor, double glazing. Available on 01/03/2022. To discover as soon as possible !","7 m²
square meters",,,,,,,,,1.0,Non flood zone,,,,,,,,,,,,,,,"125 m²
square meters","Living area (residential, urban or rural)",,,,,,,,,,,,,,
875,,9.0,Hyper equipped,3.0,,1.0,1.0,,,,,"102 kWh/m²
kilowatt hour per square meters",C,Not specified,28 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 1,100
1100 €","€ 280
280€",No,"€1,100 (+ €280)
1100€ + 280€ per month","3 bedrooms | 100 m²
square meters",1200 — Woluwe-Saint-Lambert,Apartment for rent,12.0,2.0,1.0,"100 m²
square meters","30 m²
square meters","14 m²
square meters","11 m²
square meters",No,"20 m²
square meters",Yes,Yes,,"Rue Voot 4
1200 - Woluwe",https://www.trior.be/agence-immobiliere-woluwe,5225294,TRIOR Woluwe,,Good,,,,Yes,,Yes,Yes,Yes,,,Yes,,,No,,,,Immediately,,"TRIOR Woluwe vous propose : idéalement situé à deux pas du métro Roodebeek et de toutes les commodités (shopping Woluwe Center, écoles, ...) venez découvrir ce bel appartement de 95m². Situé au 9 étage/12 d'un l'immeuble avec ascenseur, il se compose d’un hall d'entrée, lumineux séjour de 30m², cuisine super-équipée et agréable terrasse de 20m² orientée Ouest. La partie nuit se compose d’un hall desservant 3 chambres (14, 11 et 9m²) dont une avec terrasse privative (5,5m²) et placards encastrés, une salle de bain (double lavabo, douche dans le bain), buanderie et WC séparé. DIVERS : PEB C+, chauffage central au gaz, chÃssis double vitrage PVC, cave en sous-sol, local vélo, parking libre en bas de l'immeuble, Ã Provision de charges : 280€/mois (communs + eau + chauffage). Possibilité de louer un garage box fermé + 100€/mois. Disponible immédiatement ! Vous serez séduits par sa luminosité et sa situation idéale. A visiter rapidement ! Une visite? Appelez-nous! (les visites ne peuvent être planifiées que par téléphone). Descriptif complet sur www.TRIOR.be","7 m²
square meters",,Bruxelles (19 communes),,,,,,,,,Urban,,,1.0,,,,,"9 m²
square meters",,,,,,,,,,,,,,,,,,,,,
876,February 1 2023 - 12:00 AM,nan,USA hyper equipped,2.0,,2.0,2.0,,,,,"327 kWh/m²
kilowatt hour per square meters",F,Not specified,70 kg CO₂/m²,Not specified,Gas,,,,,,,"€ 1,650
1650 €","€ 150
150€",No,"€1,650 (+ €150)
1650€ + 150€ per month","2 bedrooms | 125 m²
square meters",1000 — Bruxelles,House for rent,,3.0,,"125 m²
square meters",,"15 m²
square meters","20 m²
square meters",Yes,"6 m²
square meters",,,,"Rue des Sablons 19
1000 - Bruxelles",,5225034,Engel & Völkers Sablon,,As new,Yes,,,,,,No,Yes,,,,,,No,,,,Depending on the tenant,,"Located between the Sablon district and the Grand Place. Charming house (2CH/2SDB) furnished of ± 125m² with terrace and parking place. Located in a private closed area, this beautiful house is composed on the first floor of a large entrance hall with checkroom, a bedroom with shower room en suite, WC and dressing room. On the first floor is the common living space with on the one hand the living/dining room opening onto a beautiful terrace ideally exposed, and on the other hand the open kitchen super-equipped. On the second floor you will find a large bedroom with two beds as well as a shower room with toilet and a laundry room. Additional information: Optional parking: 125€/month. Provision of charges : 150€/month (common charges). PEB: F.",,,Bruxelles (19 communes),,,,,,,2.0,,Isolated,,,,,,,,,,,"125 m²
square meters",,,,,,,,,,,,,,,,,,
877,February 1 2023 - 12:00 AM,nan,USA hyper equipped,2.0,,2.0,2.0,,,,,"327 kWh/m²
kilowatt hour per square meters",F,Not specified,70 kg CO₂/m²,Not specified,Gas,,,,,,,"€ 1,650
1650 €","€ 150
150€",No,"€1,650 (+ €150)
1650€ + 150€ per month","2 bedrooms | 125 m²
square meters",1000 — Bruxelles,Apartment for rent,2.0,3.0,,"125 m²
square meters",,"15 m²
square meters","20 m²
square meters",Yes,"6 m²
square meters",,,,"Rue des Sablons 19
1000 - Bruxelles",,5225031,Engel & Völkers Sablon,,As new,Yes,,,,,,No,Yes,,,,,,No,,,,Depending on the tenant,,"Located between the Sablon district and the Grand Place. Charming house (2CH/2SDB) furnished of ± 125m² with terrace and parking place. Located in a private closed area, this beautiful house is composed on the first floor of a large entrance hall with checkroom, a bedroom with shower room en suite, WC and dressing room. On the first floor is the common living space with on the one hand the living/dining room opening onto a beautiful terrace ideally exposed, and on the other hand the open kitchen super-equipped. On the second floor you will find a large bedroom with two beds as well as a shower room with toilet and a laundry room. Additional information: Optional parking: 125€/month. Provision of charges : 150€/month (common charges). PEB: F.",,,Bruxelles (19 communes),,,,,,,2.0,,Isolated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,March 1 2023 - 12:00 AM,4.0,USA hyper equipped,3.0,,2.0,2.0,,,,,"170 kWh/m²
kilowatt hour per square meters",D,20161204-0000365548-01-0,36 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 1,750
1750 €",,No,"€1,750/month
1750€ per month",3 bedrooms,Ask for the exact address,Apartment for rent,4.0,2.0,1.0,,,"23 m²
square meters","13 m²
square meters",Yes,,,Yes,,"Rue des Sablons 19
1000 - Bruxelles",,5224994,Engel & Völkers Sablon,2000.0,As new,Yes,,,Yes,,,Yes,No,,,,,,No,,,,To be defined,,"Located near Place du Sablon, this superb art-deco style furnished apartment with a gross area of ± 142 m² will delight you with its warmth and finishes. On the 4th and last floor with elevator, this apartment is composed as follows: an entrance hall with guest toilet, a spacious living room of ± 35 sqm with a fully equipped open kitchen, a night hall leading to a bedroom with dressing room ± 23 sqm, a second bedroom of ± 13 sqm and a third bedroom/office of ± 9 sqm, a bathroom, a shower room with HAMMAM and a second separate toilet. Additional information: a compulsory parking for 100 €, provision of charges 125 € for the maintenance of the common and the consumption of water PEB: D+! no contract of colocation",,,,,,,,,,1.0,,,,,,,,,,"9 m²
square meters",,,,,,"143 m²
square meters",,,,,,,,,,,,,,,
879,,11.0,USA hyper equipped,2.0,,1.0,1.0,,,,Yes,"203 kWh/m²
kilowatt hour per square meters",D,Not specified,40 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 1,950
1950 €","€ 400
400€",No,"€1,950 (+ €400)
1950€ + 400€ per month","2 bedrooms | 130 m²
square meters",1050 — Ixelles,Apartment for rent,13.0,2.0,,"130 m²
square meters","13 m²
square meters","10 m²
square meters","16 m²
square meters",Yes,"8 m²
square meters",Yes,,,"Avenue Louise 589
1050 - Ixelles",,5223135,ENGEL & VÖLKERS Pavillon d'Ixelles,1958.0,As new,,Yes,,Yes,,,Yes,Yes,,,,,,No,,,,Immediately,,"W-02QQJH Located in front of the Abbaye de la Cambre, bright FURNISHED two bedroom flat on the 11th floor out of 12 of a 60's building. It is composed as follows: Entrance hall, living room with access to the terrace (east oriented), dining room with open super equipped kitchen, a laundry space with machines, a separate toilet, a dressing room, a bathroom (bath, shower and sink), and two bedrooms each with access to the backside balcony (west oriented). A garage-box and a cellar are also included in the rent. Charges: provision of 400€ (common charges, heating and water) PEB : D- Available on March 1st Lease : minimum 6 months maximum 2 years. To visit without delay!","14 m²
square meters",,,,,,,,,1.0,,Urban,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
880,,nan,,2.0,,1.0,2.0,Yes,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,,"€ 1,950
1950 €","€ 300
300€",No,"€1,950 (+ €300)
1950€ + 300€ per month","2 bedrooms | 210 m²
square meters",Ask for the exact address,Apartment for rent,2.0,,2.0,"210 m²
square meters","40 m²
square meters","9 m²
square meters","20 m²
square meters",No,"24 m²
square meters",,,,"François Gaystraat 155
1150 - Woluwe-St-Pierre",,5218840,Immo Trust,1960.0,As new,,Yes,,Yes,,,,,,,,,,,,,,Immediately,,"Located close from the Arcades and the tennis of le bois de la Cambre, beautiful and spacious duplex of 210 sqm with a living room, a dining room, a fully equiped kitchen, a terrace south of 24 m², a garden south of 250m², 2 bedrooms, an office space, a sauna, a bathroom, a dressing, a laundry room,a garage, a parkig place and a big basement. Available. Floor: 0 and 1.Charges of 300eur. EPC: D-",,,,,,"250 m²
square meters",,,,,,,,,1.0,,,,,,"16 m²
square meters",,,,,,,,,,,,,,,,,,,,
881,,1.0,,1.0,,1.0,,,,,No,"193 kWh/m²
kilowatt hour per square meters",D,20170926-0000512836-01-4,38 kg CO₂/m²,Not specified,Gas,No,No,No,No,Yes,,"€ 1,150
1150 €",,No,"€1,150/month
1150€ per month","1 bedroom | 85 m²
square meters",1160 — Auderghem,Apartment for rent,3.0,2.0,,"85 m²
square meters",,,,No,,,,,"Place Pinoy 7
1160 - Auderghem",http://www.merryl.be,,ERA Merryl Conti sprl,2000.0,,,,,,,,No,No,Yes,,No,No,No,No,,,No,Immediately,6 m,,,,,,,,,,No,,Non flood zone,,,,1.0,No,,,,,,,,,,,,,193.0,,,,,,,,,,,,
882,,3.0,Installed,2.0,No,nan,1.0,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,All kind,"€ 800
800 €",,No,"€800/month
800€ per month","2 bedrooms | 60 m²
square meters",1000 — Bruxelles,Apartment for rent,4.0,2.0,,"60 m²
square meters","16 m²
square meters","16 m²
square meters","12 m²
square meters",,,Yes,No,,,,,,,Just renovated,,,,,,No,No,No,No,No,Yes,No,No,No,No,,,Immediately,6 m,,"12 m²
square meters",,,,,,,,,1.0,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,February 1 2023 - 12:00 AM,2.0,Installed,2.0,,1.0,2.0,Yes,,,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,,,,,Yes,,"€ 1,550
1550 €","€ 300
300€",No,"€1,550 (+ €300)
1550€ + 300€ per month","2 bedrooms | 145 m²
square meters",Ask for the exact address,Apartment for rent,5.0,2.0,,"145 m²
square meters","45 m²
square meters","25 m²
square meters","22 m²
square meters",No,,,Yes,No,"Rue Camille Lemonnier , 68
1050 - Ixelles",http://www.brusselsrealestate.eu,5817 - 1734195,Brussels Real Estate,1930.0,Just renovated,,,,Yes,,,Yes,,,,,,,,,,,,,"In the heart of the city, near Place de la Monnaie - Central Station, on the second floor of an Art Deco building, very nice renovated apartment, 145 m2 - 2 large bedrooms + office - bathroom - shower room - super equipped american kitchen - large entrance hall - bright living room of +/-50 m2 - balcony in front and equipped laundry room - PEB D.",,,,,,,,,,1.0,Non flood zone,,,,,,,,,,"15 m²
square meters",,,,,,,,,,,,,,,,,,,,
884,,3.0,Installed,3.0,,2.0,2.0,Yes,,,,"794 kWh/m²
kilowatt hour per square meters",G,201207230000103312015,169 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 1,950
1950 €","€ 45
45€",No,"€1,950 (+ €45)
1950€ + 45€ per month","3 bedrooms | 195 m²
square meters",1000 — BRUXELLES,Duplex for rent,4.0,2.0,,"195 m²
square meters","52 m²
square meters",,,No,,,,No,"Av G.Dossin de st Georges 5 bte 6
1050 - Ixelles",http://www.contigo.immo,8734 - 1404,Contigo Ixelles,,Good,,,,Yes,,,Yes,,,,,,,,,,,Immediately,,"Sorry, there is no English translation. Au centre ville de Bruxelles, à deux pas de la place LOUISE, dans le quartier du Sablon, magnifique appartement de +/-195m², 3 chambres + bureau, living de +/-52m², cuisine super-équipée, 1 salle de douches, 1 salle de bains, 1 cave. Le bien est disponible, pour un bail de minimum 3 ans, au loyer de 1950€ + forfait pour charges communes de 40€. Chauffage central individuel au gaz.",,,,,,,,,,,,,Link to the virtual visit,,,,,,,,"7 m²
square meters",,,,,,,,,,,,,,,,,,,,
885,,3.0,Installed,2.0,,1.0,2.0,,,,,"170 kWh/m²
kilowatt hour per square meters",D,001124679,34 kg CO₂/m²,Not specified,,,,,,,,"€ 1,500
1500 €","€ 140
140€",No,"€1,500 (+ €140)
1500€ + 140€ per month","2 bedrooms | 90 m²
square meters",Ask for the exact address,Apartment for rent,4.0,3.0,,"90 m²
square meters","30 m²
square meters","14 m²
square meters","12 m²
square meters",No,"14 m²
square meters",,,No,"Avenue de Woluwe-Saint-Lambert 35
1200 - Woluwe-Saint-Lambert",http://www.espaceimmobrussels.be,45519 - 147,Espace Immo Brussels EST,1989.0,,,,,Yes,,,Yes,,,,,,,,,,,Immediately,,"Sorry, there is no English translation. Proximité Woluwe Shopping Center - Superbe appartement 2 chambres +/-90m² et terrasse +/-14m² SUD. - Composé comme suit : un hall d'entrée de +/-8m², un grand et lumineux séjour +/-30m², une cuisine équipée +/-16m², deux belles chambres +/-12m² et +/-14m² , une salle de bain avec toilette de +/-6m², une salle de douche +/-4m², un wc séparé et une terrasse +/-14m² orienté SUD. - Sous-sol : emplacement parking obligatoire : 100€/mois. - Equipements : double vitrage, parlophone, ascenseur, machine à laver et sèche linge, chauffage individuel au gaz. - Provision de charges: 140€/mois (eau, entretien et électricité des communs et ascenseur). - Libre immédiatement - PEB : D+","16 m²
square meters",,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
